"","tow_station","stod_id","stod_nr","reitur","smareitur","kastad_breidd","kastad_lengd","hift_breidd","hift_lengd","catch"
"1",31501,331294,106,315,1,63.4603333333333,-15.7733333333333,63.4845,-15.6458333333333,2469.92443411045
"2",31501,49650,43,315,1,63.45,-15.7833333333333,63.4833333333333,-15.65,1224.61924969976
"3",31501,296011,78,315,1,63.4813333333333,-15.6608333333333,63.4555,-15.797,1241.53496101684
"4",31501,325120,107,315,1,63.458,-15.785,63.4835,-15.648,3729.34018696838
"5",31501,323547,149,315,1,63.4798333333333,-15.672,63.4523333333333,-15.8093333333333,1327.18451465005
"6",31501,274529,74,315,1,63.4823333333333,-15.6591666666667,63.4555,-15.7958333333333,683.262677929058
"7",31501,305286,71,315,1,63.4605,-15.774,63.486,-15.6355,1770.65344349646
"8",31501,263000,8,315,1,63.4851666666667,-15.6455,63.4581666666667,-15.7853333333333,367.686451255436
"9",31501,271302,7,315,1,63.483,-15.6533333333333,63.4563333333333,-15.7913333333333,1249.04286284222
"10",31501,266463,8,315,1,63.4988333333333,-15.6553333333333,63.456,-15.7935,572.445986514033
"11",31501,291080,121,315,1,63.4576666666667,-15.786,63.4778333333333,-15.6791666666667,1901.97018686279
"12",31501,282143,103,315,1,63.4591666666667,-15.791,63.4833333333333,-15.651,4193.20117317899
"13",31501,249267,128,315,1,63.4576666666667,-15.785,63.483,-15.6466666666667,1148.11172691751
"14",31501,238296,11,315,1,63.4821666666667,-15.663,63.4578333333333,-15.8025,473.044514067347
"15",31501,236808,8,315,1,63.4833333333333,-15.6573333333333,63.4583333333333,-15.795,1089.7641858788
"16",31501,245678,8,315,1,63.4788333333333,-15.6743333333333,63.452,-15.8106666666667,1582.55395758171
"17",31501,239743,8,315,1,63.4786666666667,-15.6748333333333,63.4535,-15.8141666666667,773.299898154633
"18",31501,218287,39,315,1,63.4813333333333,-15.661,63.4561666666667,-15.7986666666667,700.298769729077
"19",31501,204576,127,315,1,63.4588333333333,-15.7801666666667,63.4845,-15.6418333333333,132.086615497892
"20",31501,215155,9,315,1,63.481,-15.6643333333333,63.4558333333333,-15.8021666666667,328.485310636445
"21",31501,139298,129,315,1,63.4833333333333,-15.6483333333333,63.4616666666667,-15.7566666666667,583.460782573435
"22",31501,179156,8,315,1,63.4795,-15.6741666666667,63.4546666666667,-15.8138333333333,625.384857573458
"23",31501,168321,128,315,1,63.4848333333333,-15.649,63.452,-15.7801666666667,914.932564548453
"24",31501,169990,119,315,1,63.4833333333333,-15.645,63.4528333333333,-15.7776666666667,1170.18230074667
"25",31501,118933,127,315,1,63.4865,-15.6508333333333,63.4525,-15.7795,2351.9176043332
"26",31501,163258,8,315,1,63.4866666666667,-15.655,63.4583333333333,-15.7983333333333,500.645306328573
"27",31501,130744,122,315,1,63.46,-15.7833333333333,63.4883333333333,-15.6483333333333,259.796773352618
"28",31501,123959,117,315,1,63.4593333333333,-15.7868333333333,63.4836666666667,-15.6475,114.884201724755
"29",31501,97430,34,315,1,63.45,-15.7833333333333,63.4833333333333,-15.65,171.260350740399
"30",31501,106667,33,315,1,63.4513333333333,-15.8028333333333,63.48,-15.655,117.508604157416
"31",31501,89251,16,315,1,63.45,-15.7833333333333,63.4833333333333,-15.65,464.477264386246
"32",31501,83115,26,315,1,63.452,-15.7803333333333,63.4865,-15.654,1036.08732139406
"33",31501,85336,33,315,1,63.4561666666667,-15.7736666666667,63.487,-15.65,463.796327537187
"34",31501,93913,33,315,1,63.4616666666667,-15.7833333333333,63.4833333333333,-15.64,679.182672055295
"35",31501,56604,21,315,1,63.4533333333333,-15.783,63.4833333333333,-15.6486666666667,2140.99900786494
"36",31501,52974,26,315,1,63.4555,-15.7666666666667,63.4841666666667,-15.65,2374.50044077192
"37",31501,47219,14,315,1,63.4595,-15.7771666666667,63.4853333333333,-15.6365,1587.16393987143
"38",31601,85333,30,316,2,63.3833333333333,-16.2633333333333,63.3833333333333,-16.05,1393.98358505835
"39",31601,93910,30,316,2,63.3833333333333,-16.25,63.3833333333333,-16.1083333333333,43.1554337202671
"40",31601,54574,26,316,2,63.3816666666667,-16.2333333333333,63.3841666666667,-16.1,2144.54096021868
